device_id,ts,ignition,odometer_km
D2008,24/05/2026 09:38,ON,518.9
D2027,2026-05-26T11:07:00,ON,63814.3
D2013,17/05/2026 14:15,ON,48330.4
D2014,06/05/2026 16:07,ON,77708.7
D2016,2026-05-18T07:15:00,ON,35008.8
D2018,22-May-2026 08:52:00,ON,0
D9002,2026-05-23T08:23:00,ON,66217.3
D2017,12/05/2026 07:23,ON,71666.5
D2019,19-May-2026 13:15:00,ON,19058.1
D2026,2026-05-16 11:07:00,ON,13603.9
D2007,2026-05-20T09:52:00,ON,48649.5
D2009,30/05/2026 14:45,ON,1426.4
D2005,2026-05-15T13:45:00,on,-1
D2011,17/05/2026 13:45,OFF,30676.1
D2018,29-May-2026 07:00:00,ON,78814.4
D2027,2026-05-03T11:15:00,ON,62923.9
D9002,2026-05-07T17:45:00,ON,65967.8
D2011,01/05/2026 14:23,OFF,30676.1
D2015,2026-05-15 07:52:00,ON,26396.5
D2011,14/05/2026 17:00,OFF,30676.1
D2018,05-May-2026 08:23:00,ON,77305.5
D2022,2026-05-30T07:23:00,ON,59141.8
D2022,2026-05-04T07:23:00,ON,58093.6
D2019,13-May-2026 13:38:00,ON,18830.0
D2024,24-May-2026 17:23:00,ON,15790.6
D2021,20/05/2026 07:07,ON,28897.1
D2026,2026-05-21 16:07:00,ON,13710.4
D2024,07-May-2026 13:45:00,ON,14918.1
D2025,12/05/2026 09:52,on,78402.9
D9002,2026-05-26T07:07:00,ON,66263.6
D2012,25/05/2026 09:45,ON,57516.3
D2019,02-May-2026 09:00:00,ON,18399.2
D2022,2026-05-16T09:45:00,ON,58580.2
D2022,2026-05-30T09:52:00,ON,59150.2
D2008,03/05/2026 09:52,ON,
D2027,2026-05-07T11:00:00,ON,63077.3
D2027,2026-05-17T07:00:00,ON,63450.6
D2022,2026-05-07T17:38:00,ON,58246.3
D2012,19/05/2026 09:00,ON,57340.4
D2020,2026-05-14 10:38:00,ON,9715.3
D2009,25/05/2026 07:52,ON,1071.8
D9001,2026-05-29T07:07:00,ON,12266.9
D2014,05/05/2026 09:07,ON,77614.0
D2009,17/05/2026 07:45,ON,566.9
D2014,04/05/2026 09:07,ON,77554.9
D2028,2026-05-25T11:07:00,ON,47345.2
D2027,2026-05-05T16:38:00,ON,63019.7
D2009,11/05/2026 07:52,ON,189.4
D2010,2026-05-12 07:52:00,OFF,46638.8
D2024,04-May-2026 09:23:00,ON,14748.3
D2021,26/05/2026 13:00,ON,29150.7
D2005,2026-05-11T16:45:00,ON,36903.7
D2023,17-May-2026 17:38:00,ON,76958.7
D2017,22/05/2026 15:45,ON,71898.6
D2024,23-May-2026 17:52:00,ON,15739.3
D2024,02-May-2026 09:15:00,on,14646.5
D9002,2026-05-20T12:07:00,ON,66172.9
D2021,09/05/2026 11:52,ON,28485.6
D2012,18/05/2026 12:07,ON,57318.7
D2025,01/05/2026 09:52,ON,0
D2019,07-May-2026 17:00:00,ON,18611.4
D2019,30-May-2026 07:23:00,on,19459.2
D2016,2026-05-03T14:45:00,ON,34620.2
D2005,2026-05-17T07:38:00,ON,37088.3
D2019,02-May-2026 14:23:00,ON,18414.4
D2014,01/05/2026 07:15,ON,77367.0
D2016,2026-05-10T12:00:00,ON,34803.2
D2021,23/05/2026 11:23,on,29027.8
D2020,2026-05-10 12:15:00,ON,9518.1
D2018,22-May-2026 12:45:00,ON,78396.5
D2007,2026-05-18T17:15:00,ON,48591.4
D2023,09-May-2026 07:00:00,ON,76745.7
D2024,11-May-2026 07:38:00,ON,15091.5
D2026,2026-05-30 07:52:00,ON,13868.7
D2015,2026-05-26 07:23:00,ON,26629.5
D2012,01/05/2026 11:23,ON,56827.2
D2012,24/05/2026 09:00,ON,57487.2
D2019,27-May-2026 09:07:00,ON,19350.7
D2008,25/05/2026 14:00,ON,558.2
D2022,2026-05-22T17:00:00,ON,58851.1
D2021,11/05/2026 07:00,ON,28545.4
D2025,30/05/2026 07:15,ON,79058.9
D2025,28/05/2026 17:15,ON,79015.3
D2012,18/05/2026 08:45,ON,0
D2027,2026-05-13T16:07:00,ON,63328.5
D2021,04/05/2026 15:15,ON,28300.6
D2005,2026-05-05T13:38:00,ON,36675.2
D9002,2026-05-19T09:52:00,ON,66153.4
D2022,2026-05-19T08:07:00,ON,58700.6
D2027,2026-05-14T09:00:00,ON,63341.3
D2024,28-May-2026 17:38:00,ON,15992.4
D2007,2026-05-17T16:00:00,on,0
D2017,28/05/2026 15:07,ON,72029.9
D2018,26-May-2026 16:45:00,ON,78676.3
D2013,12/05/2026 10:23,ON,48121.9
D2028,2026-05-25T16:23:00,ON,47371.8
D2026,2026-05-17 13:00:00,ON,13626.0
D2013,06/05/2026 08:00,ON,47883.3
D2016,2026-05-11T15:00:00,on,
D2011,01/05/2026 09:15,OFF,30676.1
D2020,2026-05-23 13:45:00,ON,10187.1
D2015,2026-05-10 15:23:00,ON,26306.4
D2014,19/05/2026 07:38,ON,78433.5
D2020,2026-05-21 10:07:00,ON,10072.6
D2008,13/05/2026 13:52,ON,47898.0
D2021,07/05/2026 15:38,ON,28418.1
D2024,22-May-2026 15:07:00,ON,15680.6
D2026,2026-05-30 08:00:00,ON,13871.3
D2026,2026-05-24 14:00:00,ON,
D2014,04/05/2026 07:23,ON,77543.3
D2023,01-May-2026 07:45:00,ON,76551.2
D2023,28-May-2026 15:38:00,ON,77222.5
D2010,2026-05-13 13:45:00,OFF,46638.8
D9001,2026-05-16T17:38:00,ON,-1
D2016,2026-05-08T15:23:00,ON,34756.1
D2012,26/05/2026 10:15,ON,57546.4
D2010,2026-05-13 09:38:00,off,46638.8
D2028,2026-05-21T14:23:00,on,47094.0
D2024,12-May-2026 11:52:00,ON,15159.0
D2014,04/05/2026 14:45,ON,77578.3
D2014,17/05/2026 13:45,ON,78345.4
D2008,21/05/2026 15:23,ON,454.5
D2008,10/05/2026 13:38,ON,47818.4
D2010,2026-05-07 17:23:00,OFF,46638.8
D2007,2026-05-02T13:07:00,ON,47883.3
D2022,2026-05-10T10:52:00,ON,58342.9
D2006,09-May-2026 17:45:00,on,59115.3
D2027,2026-05-14T11:23:00,ON,63347.4
D2004,04-May-2026 13:45:00,ON,32318.9
D2004,08-May-2026 07:23:00,ON,32492.7
D2015,2026-05-18 13:15:00,ON,0
D2011,08/05/2026 07:45,OFF,30676.1
D2024,10-May-2026 15:15:00,ON,15075.9
D2028,2026-05-29T16:23:00,ON,47635.8
D9001,2026-05-18T15:45:00,ON,12003.5
D2012,12/05/2026 17:07,ON,57157.3
D9002,2026-05-29T08:38:00,ON,66316.7
D2012,26/05/2026 08:52,ON,57542.4
D2027,2026-05-07T15:52:00,ON,63090.1
D2024,04-May-2026 15:52:00,ON,14773.6
D2017,11/05/2026 17:38,ON,71663.2
D2011,26/05/2026 16:45,OFF,30676.1
D2028,2026-05-13T08:07:00,ON,46531.8
D2015,2026-05-17 07:45:00,ON,26439.2
D2027,2026-05-21T07:52:00,ON,63602.9
D2024,26-May-2026 13:45:00,ON,15874.6
D2025,02/05/2026 07:52,ON,78026.4
D9002,2026-05-21T16:38:00,ON,9999999
D2009,29/05/2026 16:23,ON,1376.4
D2017,28/05/2026 12:45,ON,72023.6
D2015,2026-05-28 11:07:00,ON,26679.7
D2023,06-May-2026 13:38:00,ON,76684.6
D2022,2026-05-19T12:38:00,ON,58712.2
D2011,24/05/2026 15:23,OFF,30676.1
D2010,2026-05-01 09:15:00,OFF,46638.8
D2028,2026-05-24T11:38:00,ON,47279.1
D2014,13/05/2026 11:23,ON,78102.5
D2013,02/05/2026 10:00,ON,0
D2009,05/05/2026 13:45,ON,53074.8
D9002,2026-05-09T17:23:00,ON,65999.8
D2018,28-May-2026 07:45:00,ON,78748.0
D2025,20/05/2026 07:07,ON,78690.5
D2028,2026-05-30T15:23:00,ON,47692.0
D2024,13-May-2026 09:07:00,ON,15204.1
D2006,06-May-2026 17:38:00,ON,58914.9
D2027,2026-05-29T10:38:00,ON,63922.9
D2011,19/05/2026 07:52,OFF,30676.1
D2015,2026-05-07 07:00:00,ON,9999999
D2008,08/05/2026 12:15,ON,47761.1
D2026,2026-05-18 09:38:00,ON,13639.4
D2010,2026-05-17 17:07:00,OFF,46638.8
D2020,2026-05-07 09:07:00,ON,9352.2
D2023,27-May-2026 09:23:00,ON,-1
D9002,2026-05-15T07:15:00,ON,0
D9002,2026-05-04T14:00:00,ON,65914.8
D2018,25-May-2026 17:00:00,ON,78613.9
D2004,16-May-2026 12:00:00,ON,32908.5
D2014,02/05/2026 13:00,ON,77453.4
D2023,24-May-2026 14:23:00,ON,77123.6
D2016,2026-05-10T17:15:00,ON,34814.5
D2015,2026-05-15 10:23:00,ON,26402.5
D2010,2026-05-26 07:38:00,OFF,46638.8
D2024,02-May-2026 13:52:00,ON,14663.6
D2015,2026-05-19 07:15:00,ON,26481.5
D2007,2026-05-18T13:00:00,ON,48578.8
D2022,2026-05-27T16:07:00,ON,59053.0
D2025,15/05/2026 07:00,ON,78506.7
D2013,26/05/2026 13:23,ON,9999999
D9001,2026-05-11T07:52:00,ON,11805.2
D9002,2026-05-13T07:23:00,ON,66051.7
D2026,2026-05-21 11:38:00,ON,13703.0
D2020,2026-05-13 08:15:00,ON,9656.7
D2013,24/05/2026 17:07,ON,48611.9
D2006,08-May-2026 07:07:00,ON,58995.7
D2023,26-May-2026 09:23:00,ON,77161.4
D2020,2026-05-06 09:45:00,ON,9304.7
D2020,2026-05-16 07:38:00,ON,9803.1
D2018,19-May-2026 13:45:00,ON,78212.6
D2024,17-May-2026 07:15:00,ON,15395.8
D2011,01/05/2026 07:23,OFF,30676.1
D9001,2026-05-27T17:07:00,ON,12236.6
D2027,2026-05-26T16:00:00,ON,63829.9
D2011,06/05/2026 17:00,OFF,30676.1
D2007,2026-05-14T08:52:00,ON,48387.3
D2008,22/05/2026 12:52,ON,472.7
D2016,2026-05-27T07:38:00,ON,35248.5
D2012,09/05/2026 12:23,ON,57059.1
D2027,2026-05-13T11:07:00,ON,63312.9
D9002,2026-05-26T15:38:00,ON,66275.5
D2015,2026-05-23 11:45:00,ON,26574.9
D2007,2026-05-06T15:23:00,ON,48063.2
D2024,06-May-2026 16:23:00,ON,14882.4
D2012,12/05/2026 07:00,ON,57133.4
D2021,07/05/2026 17:15,ON,28424.4
D2018,05-May-2026 15:07:00,ON,0
D9001,2026-05-05T09:38:00,ON,11655.7
D2024,10-May-2026 12:45:00,ON,15061.6
D2011,17/05/2026 15:23,OFF,30676.1
D2016,2026-05-06T08:00:00,ON,34687.5
D2021,19/05/2026 15:07,ON,28884.9
D2012,03/05/2026 11:45,ON,56886.7
D2008,20/05/2026 17:23,ON,430.8
D2018,06-May-2026 12:23:00,ON,77386.2
D2027,2026-05-07T17:38:00,ON,63096.8
D2019,15-May-2026 13:00:00,on,18906.3
D2024,16-May-2026 17:52:00,ON,15385.5
D2014,25/05/2026 07:07,ON,78787.8
D2008,14/05/2026 07:45,ON,248.3
D2018,20-May-2026 17:15:00,ON,78297.4
D2027,2026-05-27T13:00:00,ON,63857.5
D2013,07/05/2026 10:23,ON,47927.7
D2019,12-May-2026 14:52:00,ON,18795.2
D2012,20/05/2026 09:23,ON,57369.5
D2008,23/05/2026 07:52,ON,488.1
D2019,13-May-2026 15:38:00,ON,9999999
D2018,10-May-2026 11:07:00,ON,-1
D2022,2026-05-22T11:52:00,ON,58831.1
D2016,2026-05-26T12:45:00,ON,35233.3
D9001,2026-05-15T15:45:00,ON,11925.7
D9002,2026-05-06T16:00:00,ON,65951.1
D2027,2026-05-02T12:52:00,ON,62888.1
D2011,28/05/2026 10:23,OFF,30676.1
D2025,10/05/2026 15:45,ON,78346.7
D2005,2026-05-10T09:45:00,ON,36843.7
D2008,23/05/2026 15:15,on,505.0
D2005,2026-05-04T11:07:00,ON,9999999
D2027,2026-05-10T11:07:00,ON,63196.2
D2005,2026-05-04T17:00:00,ON,36650.8
D2025,20/05/2026 09:38,ON,78696.6
D2012,29/05/2026 13:38,ON,57640.0
D9002,2026-05-19T11:07:00,ON,66156.6
D2027,2026-05-25T15:45:00,ON,63785.1
D2012,02/05/2026 13:00,ON,56859.9
D2008,07/05/2026 16:07,ON,47746.2
D9001,2026-05-29T11:52:00,ON,12275.6
D2010,2026-05-15 07:15:00,OFF,46638.8
D2020,2026-05-21 15:45:00,ON,10094.5
D2023,10-May-2026 17:00:00,ON,76789.7
D2023,17-May-2026 08:52:00,ON,76942.0
D2004,13-May-2026 11:23:00,ON,32755.9
D2023,06-May-2026 15:38:00,ON,76688.4
D2024,20-May-2026 13:07:00,ON,15571.0
D2024,20-May-2026 09:45:00,ON,15554.2
D2025,10/05/2026 17:15,ON,78353.0
D2005,2026-05-15T17:15:00,ON,
D2010,2026-05-19 13:07:00,OFF,46638.8
D9002,2026-05-05T11:23:00,ON,65926.4
D2020,2026-05-19 08:00:00,on,0
D2013,03/05/2026 13:52,ON,47781.1
D2005,2026-05-03T07:07:00,ON,36583.5
D2016,2026-05-01T08:52:00,ON,34553.2
D2022,2026-05-13T17:23:00,ON,58486.4
D2015,2026-05-27 13:45:00,ON,26660.9
D2023,10-May-2026 15:07:00,ON,76785.6
D2017,23/05/2026 13:38,ON,71916.2
D2015,2026-05-29 09:23:00,ON,26694.5
D2007,2026-05-21T07:15:00,ON,48687.5
D2009,09/05/2026 15:38,ON,53335.0
D2025,05/05/2026 16:23,ON,78168.7
D2028,2026-05-23T13:15:00,on,47220.7
D2013,07/05/2026 08:52,ON,47922.2
D2026,2026-05-14 07:00:00,ON,13557.1
D2015,2026-05-12 13:52:00,ON,26344.7
D2007,2026-05-17T14:23:00,ON,48539.2
D2020,2026-05-12 14:00:00,ON,9631.6
D2013,06/05/2026 13:45,ON,47899.6
D2016,2026-05-29T15:38:00,ON,0
D2017,22/05/2026 09:15,ON,71887.6
D2011,11/05/2026 14:52,OFF,30676.1
D2009,10/05/2026 15:07,ON,53398.0
D2014,25/05/2026 15:38,ON,78827.8
D9001,2026-05-29T13:23:00,ON,0
D2027,2026-05-04T09:07:00,ON,62955.5
D2025,08/05/2026 09:15,ON,78256.7
D9002,2026-05-24T07:45:00,ON,66232.5
D2016,2026-05-16T16:52:00,ON,34976.7
D2027,2026-05-21T17:07:00,ON,63636.6
D2026,2026-05-05 15:15:00,ON,13397.2
D2021,27/05/2026 07:07,ON,29169.9
D2022,2026-05-20T09:00:00,ON,
D2019,21-May-2026 17:45:00,ON,19145.2
D2004,05-May-2026 15:00:00,ON,32376.0
D2022,2026-05-17T08:00:00,ON,58618.8
D9002,2026-05-11T09:23:00,ON,66022.8
D2015,2026-05-05 17:52:00,ON,26204.8
D2007,2026-05-02T17:07:00,ON,47897.5
D2027,2026-05-23T12:07:00,ON,63696.9
D2017,01/05/2026 12:52,ON,71438.6
D2014,11/05/2026 17:23,ON,78007.3
D2021,18/05/2026 09:07,ON,28829.0
D9002,2026-05-02T14:45:00,ON,65881.4
D2027,2026-05-19T12:15:00,on,63542.0
D2015,2026-05-20 13:38:00,ON,26513.9
D2022,2026-05-11T10:15:00,ON,58382.8
D2021,25/05/2026 17:38,ON,29125.1
D2023,05-May-2026 17:23:00,ON,76668.0
D2010,2026-05-17 12:23:00,OFF,46638.8
D2013,18/05/2026 09:07,ON,48351.3
D2004,08-May-2026 11:23:00,ON,32512.8
D2026,2026-05-27 13:23:00,ON,13820.9
D2023,08-May-2026 07:45:00,ON,76721.4
D2010,2026-05-09 16:00:00,OFF,46638.8
D9001,2026-05-16T13:15:00,ON,11947.2
D2017,15/05/2026 15:07,ON,71746.7
D2012,27/05/2026 07:15,ON,57567.2
D2008,04/05/2026 17:45,ON,47665.4
D2007,2026-05-13T17:00:00,ON,48374.8
D2015,2026-05-20 08:15:00,ON,26504.7
D2009,21/05/2026 11:15,ON,840.4
D2022,2026-05-27T14:52:00,ON,59044.9
D2007,2026-05-17T09:52:00,ON,48522.0
D2012,01/05/2026 07:52,ON,56817.6
D2008,18/05/2026 08:38,ON,357.7
D2026,2026-05-19 09:00:00,ON,13660.1
D2015,2026-05-24 07:07:00,ON,9999999
D2028,2026-05-29T09:38:00,on,47596.3
D9001,2026-05-07T13:00:00,ON,11715.3
D2023,30-May-2026 07:23:00,ON,77255.1
D2013,04/05/2026 07:23,ON,47802.2
D2009,26/05/2026 07:52,on,1137.0
D2018,09-May-2026 17:38:00,ON,77602.8
D2028,2026-05-02T10:38:00,ON,45813.5
D2009,22/05/2026 07:23,ON,881.3
D2021,16/05/2026 13:15,ON,28761.4
D9002,2026-05-27T07:45:00,ON,66280.8
D2006,03-May-2026 09:00:00,ON,58674.2
D2019,28-May-2026 13:15:00,ON,19403.6
D2020,2026-05-18 13:38:00,ON,
D2015,2026-05-11 13:15:00,ON,26323.8
D2018,04-May-2026 12:00:00,ON,9999999
D2006,14-May-2026 16:52:00,ON,59449.7
D2016,2026-05-14T15:15:00,ON,34919.2
D2010,2026-05-11 17:15:00,OFF,46638.8
D2025,24/05/2026 07:45,ON,78838.9
D2027,2026-05-16T12:07:00,ON,63427.7
D2010,2026-05-05 08:15:00,OFF,46638.8
D2012,05/05/2026 11:00,ON,9999999
D9001,2026-05-30T10:52:00,ON,12300.1
D2027,2026-05-29T12:07:00,ON,63928.4
D2018,06-May-2026 10:45:00,ON,77377.4
D2004,08-May-2026 09:07:00,ON,32502.8
D2008,11/05/2026 16:38,ON,47853.1
D2018,19-May-2026 07:15:00,ON,78181.2
D2008,14/05/2026 13:00,ON,261.5
D9002,2026-05-27T15:23:00,ON,66292.2
D2019,08-May-2026 07:38:00,ON,18617.7
D2018,19-May-2026 15:15:00,ON,78223.4
D2019,30-May-2026 13:45:00,ON,19478.6
D2012,19/05/2026 15:00,ON,57355.0
D2011,23/05/2026 11:00,OFF,30676.1
D2023,22-May-2026 09:38:00,ON,77063.9
